C05001140104|AD5K01-KRISHNA CONF.|I|66, BHAGWAN NAGAR|BHAGWAN NAGAR|110014|-26348440|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140105|AD5L01-LALIT COMMUNITION|I|||||||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140109|AD5N04-NITIN DEPT. STORE|I|9, BHAGWAN NAGAR|BHAGWAN NAGAR|110014|-26340515|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140110|AD5P02-PRADEEP TEA STALL|I||BHAGWAN NAGAR|110014|-|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140112|AD5R05-RUBY GEN STORE|I|144, BHAGWAN NAGAR|BHAGWAN NAGAR|110014|-26344494|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140116|AD5S05-SRI RAM SWEETS|I|66, BHAGWAN NAGAR|BHAGWAN NAGAR|110014|-26341507|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140118|AD5S07-SUNRISE BAKERY|I|61, BHAGWAN NAGAR|BHAGWAN NAGAR|110014|-26348535|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140119|AD6S14-SAINI DHABA|I|SHOP NO.34JEEWAN NAGAR|JEEVAN NAGAR|110014|-|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140121|AD5V04-VEENA DAIRY|I|69, BHAGWAN NAGAR|BHAGWAN NAGAR|110014|-26349415|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140122|AD5Y01-YOGESH GEN. STORE|I|71,BHAGWAN NAGAR|BHAGWAN NAGAR|110014|-26347834|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140126|AD5P01-PREM STORE|I|144,BHAGWAN NAGAR|BHAGWAN NAGAR||-9213199763|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140128|AD6B05-BALAJI STORE|I|SH.NO.5 DESU COLONY|SIDDHARTHA EXT|110014|-26340902|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140129|AD5A02-ANKURE  REST|I|||||||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140130|AD6P06-PEAUESH STORE|I|SUNLIGHT COLONY|SUNLIGHT COLONY I||-9899040006|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140132|AD5V05-VISHAL STORE|I|SH.NO.34 BHAGWAN NAGAR|BHAGWAN NAGAR|110014|-26349840|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140134|AD6A04-ANNAD STORE|I|SHOP NO3 KILOKRI|KILOKRI||-|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140135|AD6S10-SHIV PRO STORE|I|365,SUNLIGHT 1|SUNLIGHT COLONY I||-|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140136|AD5M09-MAHINDER STORE|I|155,JEEVAN NAGAR|JEEVAN NAGAR||-26344612|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140137|AD3B06-BHAGWAT PAN BHANDAR|I|13, TEMPAL RD BHOGAL|TEMPAL ROAD|110014|-9810481519|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140139|AD3G02-GHANSHYAM STORE|I|17,JANGPURA ROAD|JANGPURA ROAD|110014|-9210465600|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140140|AD3K02-KAPIL GEN . STORE|I|26,BHOGAL LANE|BHOGAL ROAD|110014|0|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140141|AD3M02-MANOJ TEA STALL|I|17, JANGPURA RD. ; NEW DE|JANGPURA ROAD|110014|0|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140142|AD3N04-NEW NIKKU HOTEL|I|4828, MATHURA ROAD ; BHOG|MATHURA ROAD|110014|-24310562|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140143|AD3R06-RAJU GEN. STORE|I|26 , JANGPURA ROAD||110014|-|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|N
C05001140144|AD4S04-SHIV VAISHNAV BHOJNALAYA|I|762/2 SHASHTRI MKT,BHOGAL|SHASHTRI MKT.|110014|-24372817|||IND|DL|DELHI|DELHI|EATING AND DRINKING|RETL||DELHI COBO||MT|Y
C05001140145|AD3S08-SUBHASH PAN BHANDAR|I|4828,MATHURA ROAD|MATHURA ROAD|110014|-24370562|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140148|AD4N03-NOVELTY STORE|I|43,BIRBAL ROAD,JANGPURA|JANGPURA EXT|110014|-24314168|||IND|DL|DELHI|DELHI|CONVENIENCE|RETL||DELHI COBO||MT|Y
C05001140151|AD4S03-SETHI STORE|I|14,SHIV MARKET|CENTRAL ROAD|110014|-24371811|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
C05001140152|AD4S06-SIMPLE STORE|I|39,BIRBAL ROAD,J-EXT.|JANGPURA EXT|110014|-24316867|||IND|DL|DELHI|DELHI|GROCERY|RETL||DELHI COBO||MT|Y
